d,score
1,46
2,28
3,26
4,25
5,26
6,24
7,36
8,22
9,26
10,24
11,39
12,37
13,23
14,31
15,21
16,25
17,20
18,15
19,5
20,36
21,35
22,24
23,26
24,18
25,38
26,35
27,29
28,29
29,26
30,55
31,59
32,55
33,42
34,48
35,47
36,29
37,23
38,30
39,34
40,30
41,59
42,58
43,51
44,55
45,51
46,49
47,45
48,33
49,48
50,52
51,33
52,60
53,52
54,60
55,61
56,60
57,56
58,43
59,23
60,45
61,66
62,61
63,60
64,60
65,49
66,62
67,46
68,57
69,42
70,17
71,40
72,36
73,56
74,61
75,63
76,62
77,60
78,58
79,68
80,67
81,46
82,31
83,36
84,39
85,30
86,55
87,54
88,58
89,58
90,52
91,60
92,62
93,38
94,28
95,43
96,44
97,34
98,38
99,36
100,35
101,35
102,39
103,37
104,31
105,28
106,53
107,39
108,67
109,65
110,64
111,77
112,81
113,69
114,55
115,56
116,45
117,29
118,67
119,43
120,58
121,75
122,58
123,72
124,72
125,77
126,68
127,62
128,69
129,69
130,82
131,77
132,93
133,46
134,61
135,55
136,40
137,53
138,69
139,79
140,85
141,110
142,93
143,94
144,105
145,102
146,93
147,103
148,114
149,103
150,105
151,88
152,90
153,100
154,100
155,99
156,96
157,97
158,93
159,79
160,93
161,81
162,52
163,41
164,1
165,12
166,-15
167,5
168,6
169,-12
170,-15
171,-14
172,-14
173,-41
174,-70
175,-68
176,-90
177,-74
178,-84
179,-95
180,-118
181,-110
182,-122
183,-103
184,-106
185,-132
186,-142
187,-152
188,-156
189,-136
190,-47
191,-71
192,-71
193,-71
194,-71
195,-71
196,-88
197,-67
198,-75
199,-67
200,-67
201,-76
202,-75
203,-115
204,-115
205,-116
206,-96
207,-90
208,-90
209,-91
210,-94
211,-94
212,-62
213,-62
214,-62
215,-67
216,-67
217,-70
218,-70
219,-80
220,-80
221,-82
222,-82
223,-84
224,-84
225,-85
226,-85
227,-89
228,-89
229,-91
230,-91
231,-91
232,-91
233,-99
234,-99
235,-81
236,-81
237,-81
238,-82
239,-82
240,-82
241,-67
242,-67
243,-67
244,-67
245,-67
246,-67
247,-67
248,-67
249,-72
250,-72
251,-72
252,-72
253,-72
254,-72
255,-82
256,-82
257,-82
258,-82
259,-82
260,-82
261,-82
262,-82
263,-82
264,-82
265,-83
266,-83
267,-83
268,-83
269,-83
270,-83
271,-83
272,-83
273,-83
274,-83
275,-83
276,-83
277,-83
278,-83
279,-83
280,-83
281,-83
282,-83
283,-83
284,-83
285,-83
286,-83
287,-83
288,-83
289,-83
290,-83
291,-83
292,-83
293,-83
294,-83
295,-83
296,-83
297,-83
298,-83
299,-83
300,-83
301,-83
302,-83
303,-83
304,-83
305,-83
306,-83
307,-83
308,-83
309,-83
310,-83
311,-83
312,-83
313,-83
314,-83
315,-83
316,-83
317,-83
318,-83
319,-83
320,-83
321,-83
322,-83
323,-83
324,-83
325,-83
326,-83
327,-83
328,-83
329,-83
330,-83
331,-83
332,-83
333,-83
334,-83
335,-83
336,-83
337,-83
338,-83
339,-83
340,-83
341,-83
342,-83
343,-83
344,-83
345,-83
346,-83
347,-83
348,-83
349,-83
350,-83
351,-83
352,-83
353,-83
354,-83
355,-83
356,-83
357,-83
358,-83
359,-83
360,-83
361,-83
362,-83
363,-83
364,-83
365,-83
366,-83
367,-83
368,-83
369,-83
370,-83
371,-83
372,-83
373,-83
374,-83
375,-83
376,-83
377,-83
378,-83
379,-83
380,-83
381,-83
382,-83
383,-83
384,-83
385,-83
386,-83
387,-83
388,-83
389,-83
390,-83
391,-83
392,-83
393,-83
394,-83
395,-83
396,-83
397,-83
398,-83
399,-83
400,-83
401,-83
402,-83
403,-83
404,-83
405,-83
406,-83
407,-83
408,-83
409,-83
410,-83
411,-83
412,-83
413,-83
414,-83
415,-83
416,-83
417,-83
418,-83
419,-83
420,-83
421,-83
422,-83
423,-83
424,-83
425,-83
426,-83
427,-83
428,-83
429,-83
430,-83
431,-83
432,-83
433,-83
434,-83
435,-83
436,-83
437,-83
438,-83
439,-83
440,-83
441,-83
442,-83
443,-83
444,-83
445,-83
446,-83
447,-83
448,-83
449,-83
450,-83
451,-83
452,-83
453,-83
454,-83
455,-83
456,-83
457,-83
458,-83
459,-83
460,-83
461,-83
462,-83
463,-83
464,-83
465,-83
466,-83
467,-83
468,-83
469,-83
470,-83
471,-83
472,-83
473,-83
474,-83
475,-83
476,-83
477,-83
478,-83
479,-83
480,-83
481,-83
482,-83
483,-83
484,-83
485,-83
486,-83
487,-83
488,-83
489,-83
490,-83
491,-83
492,-83
493,-83
494,-83
495,-83
496,-83
497,-83
498,-83
499,-83
