epoch, score, d
0,-205,155
1,-205,155
2,-205,155
3,-125,158
4,-125,158
5,-125,158
6,-125,158
7,-108,159
8,-108,159
9,-108,159
10,-108,159
11,-108,159
12,-108,159
13,-108,159
14,-108,159
15,-108,159
16,-108,159
17,-108,159
18,-108,159
19,-108,159
20,-108,159
21,-108,159
22,-108,159
23,-108,159
24,-108,159
25,-108,159
26,-108,159
27,-108,159
28,-108,159
29,-108,159
30,-108,159
31,-108,159
32,-108,159
33,-108,159
34,-108,159
35,-108,159
36,-108,159
37,-108,159
38,-108,159
39,-108,159
40,-108,159
41,-108,159
42,-108,159
43,-108,159
44,-108,159
45,-108,159
46,-108,159
47,-108,159
48,-108,159
49,-108,159
50,-108,159
51,-108,159
52,-108,159
53,-108,159
54,-108,159
55,-108,159
56,-108,159
57,-108,159
58,-108,159
59,-108,159
60,-108,159
61,-108,159
62,-108,159
63,-108,159
64,-108,159
65,-108,159
66,-108,159
67,-108,159
68,-108,159
69,-108,159
70,-108,159
71,-108,159
72,-108,159
73,-108,159
74,-108,159
75,-108,159
76,-108,159
77,-108,159
78,-108,159
79,-108,159
80,-108,159
81,-108,159
82,-108,159
83,-108,159
84,-108,159
85,-108,159
86,-108,159
87,-108,159
88,-108,159
89,-108,159
90,-108,159
91,-108,159
92,-108,159
93,-108,159
94,-108,159
95,-108,159
96,-108,159
97,-108,159
98,-108,159
99,-108,159
