epoch, score, d
0,-261,132
1,-256,135
2,-166,151
3,-162,154
4,-162,154
5,-162,154
6,-162,154
7,-162,154
8,-72,158
9,-72,158
10,-72,158
11,-72,158
12,-72,158
13,-72,158
14,-72,158
15,-72,158
16,70,159
17,70,159
18,70,159
19,70,159
20,70,159
21,70,159
22,70,159
23,70,159
24,70,159
25,70,159
26,70,159
27,70,159
28,70,159
29,70,159
30,70,159
31,70,159
32,70,159
33,70,159
34,70,159
35,70,159
36,70,159
37,70,159
38,70,159
39,70,159
40,70,159
41,70,159
42,70,159
43,70,159
44,70,159
45,70,159
46,70,159
47,70,159
48,70,159
49,70,159
50,70,159
51,70,159
52,70,159
53,70,159
54,70,159
55,70,159
56,70,159
57,70,159
58,70,159
59,70,159
60,70,159
61,70,159
62,70,159
63,70,159
64,70,159
65,70,159
66,70,159
67,70,159
68,70,159
69,70,159
70,70,159
71,70,159
72,70,159
73,70,159
74,70,159
75,70,159
76,70,159
77,70,159
78,70,159
79,70,159
80,70,159
81,70,159
82,70,159
83,70,159
84,70,159
85,70,159
86,70,159
87,70,159
88,70,159
89,70,159
90,70,159
91,70,159
92,70,159
93,70,159
94,70,159
95,70,159
96,70,159
97,70,159
98,70,159
99,70,159
