epoch, score
0, 429496523
1, 429496523
2, 429496523
3, 429496523
4, 429496523
5, 429496544
6, 429496549
7, 429496549
8, 429496549
9, 429496549
10, 429496549
11, 429496553
12, 429496553
13, 429496553
14, 429496553
15, 429496568
16, 429496585
17, 429496585
18, 429496585
19, 429496585
20, 429496585
21, 429496585
22, 429496585
23, 429496585
24, 429496585
25, 429496585
26, 429496585
27, 429496585
28, 429496585
29, 429496604
30, 429496604
31, 429496604
32, 429496604
33, 429496604
34, 429496606
35, 429496606
36, 429496606
37, 429496606
38, 429496606
39, 429496606
40, 429496606
41, 429496606
42, 429496606
43, 429496606
44, 429496606
45, 429496606
46, 429496614
47, 429496614
48, 429496620
49, 429496620
