epoch, score
0, 326
1, 326
2, 326
3, 326
4, 326
5, 326
6, 326
7, 326
8, 329
9, 329
10, 329
11, 329
12, 329
13, 329
14, 329
15, 329
16, 329
17, 329
18, 329
19, 329
20, 329
21, 329
22, 329
23, 329
24, 329
25, 329
26, 329
27, 329
28, 329
29, 329
30, 329
31, 329
32, 329
33, 335
34, 352
35, 352
36, 352
37, 353
38, 353
39, 353
40, 353
41, 353
42, 353
43, 353
44, 353
45, 353
46, 353
47, 353
48, 353
49, 353
50, 353
51, 353
52, 353
53, 353
54, 353
55, 353
56, 353
57, 353
58, 353
59, 353
60, 353
61, 353
62, 353
63, 353
64, 353
65, 353
66, 353
67, 353
68, 353
69, 353
70, 353
71, 353
72, 353
73, 353
74, 353
75, 353
76, 353
77, 353
78, 353
79, 353
80, 353
81, 353
82, 353
83, 353
84, 353
85, 353
86, 353
87, 353
88, 353
89, 353
90, 353
91, 353
92, 353
93, 353
94, 353
95, 353
96, 353
97, 353
98, 353
99, 353
